Timestamp,Lo primero: donde cursas la MAYORIA de tus clases?,¿En que horario cursas esa mayoría?,¿Qué medio de transporte  usás para llegar a la sede la mayoría de las veces?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,¿Qué otro medio de transporte  usás para llegar a las sedes?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,"Para finalizar, moverte hacia/desde la Universidad, te hizo considerar alguna de las siguientes opciones?"
26/05/2026 10:48:18,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... no respetan horarios,501,,,,,,No uso otro medio de transporte,,,,,,,,,,,Necesito salir antes de casa
26/05/2026 10:49:21,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... no respetan horarios,276 503 501,,,,,,Voy caminando,... el trayecto hasta la sede se me hace lejano,,,,,,,,,,Necesito salir antes de casa
26/05/2026 10:51:30,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,,510 Ramal 4,,,,,,Voy caminando,,,,,,,,,,,
26/05/2026 08:05:30,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no tienen carteles claros",520 501 ,,,,,,Voy en bici,,... el trayecto hasta la sede se me hace lejano,,,,,,,,,Necesito salir antes de casa
26/05/2026 14:39:56,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no respetan horarios",276-350-510-520 y 503 (local en lujan),,,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no respetan paradas/recorridos",,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Tengo que mudarme más cerca de las sedes, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 11:13:55,Sede Pellegrini,Turno Mañana,Voy caminando,... el tránsito por zonas es peligroso (riesgo de accidentes),,,,,,,,,,No uso otro medio de transporte,,,,,,,,,,,Tengo que evitar -tal zona- en -tal horario-
26/05/2026 11:14:03,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... no respetan horarios, ... no tienen carteles claros",510 - 520 - 501/503 - 203 - 276 - 57,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 11:16:53,Sede Pellegrini,Turno Mañana,Voy en bici,,"... el trayecto hasta la sede se me hace lejano, ... el tránsito por zonas es peligroso  (riesgo de accidentes)",,,,,,,,,Voy en colectivo,,,,"... me lleva mucho tiempo, ... no respetan horarios, ... no tienen carteles claros, ... no respetan paradas/recorridos",520 de derqui a pellegrini,,,,,,siempre llego tardo porque el colectivo pasa de las 8 en adelante y entramos 8:30 y nunca llegamos a tiempo
26/05/2026 11:38:35,Sede Pellegrini,Turno Noche,Voy en auto (propio o me llevan/traen),,,,,,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,,,,
26/05/2026 11:48:09,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... me lleva mucho presupuesto,276,,,,,,No uso otro medio de transporte,,,,,,,,,,,Necesito salir antes de casa
26/05/2026 11:50:11,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto","276, 520",,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,"... el trayecto hasta la sede se me hace lejano, .. me lleva mucho tiempo, ... me lleva mucho presupuesto",,tengo que conseguir un medio de transporte propio
26/05/2026 11:51:19,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto",506 520,,,,,,Voy en tren,,,,,,"... la zona donde transito es peligrosa (robos, etc), ... me lleva mucho presupuesto",San Martin,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 11:51:46,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,,501,,,,,,No uso otro medio de transporte,,,,,,,,,,,
26/05/2026 09:55:58,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... me lleva mucho tiempo, ... no me reconocen el boleto universitario municipal, ... no respetan horarios","501/503, 276, 520, el que aparezca primero para ir a la universidad",,,,,,No uso otro medio de transporte,,,,,,,,,,,Necesito salir antes de casa
26/05/2026 12:20:48,Sede Pellegrini,Turno Noche,Voy en auto (propio o me llevan/traen),,,,,,,,"... el tránsito por zonas es peligroso (riesgo de accidentes), ... me lleva mucho presupuesto",,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no respetan horarios",Línea 511 y luego 501/503,,,,,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 08:03:09,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,276,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,... me lleva mucho presupuesto,,,Necesito salir antes de casa
26/05/2026 12:31:31,Sede Pellegrini,Turno Tarde,Voy en tren,,,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... me quedo sin trenes/se cancela el servicio seguido, Además del tren tomo colectivos. ",Línea San Martín y colectivos. ,,,,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","237 , 501 o 520",,,,,,"Necesito salir antes de casa, Tengo que comentarlo con mi coordinador/profes, "
26/05/2026 12:39:46,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,,"520, 501, 276,510",,,,,,No uso otro medio de transporte,,,,,,,,,,,Necesito salir antes de casa
26/05/2026 13:04:45,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto","440,176, 501/503",,,,,,Voy en tren,,,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo",San Martín ,,,,"Tengo que conseguir trabajo, es muy caro viajar, Tengo que mudarme más cerca de las sedes, Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 13:10:39,Sede Pellegrini,Turno Mañana,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,Voy en tren,,,,,,... el trayecto hasta la sede se me hace lejano,,,,,Necesito salir antes de casa
26/05/2026 13:12:37,Sede Parque Industrial,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... no respetan horarios, ... no tienen carteles claros, ... no respetan paradas/recorridos",520,,,,,,Voy en colectivo,,,,"... no respetan horarios, ... no tienen carteles claros, ... no respetan paradas/recorridos",520,,,,,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 13:12:41,Sede Parque Industrial,Turno Noche,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo",,,,,,,Voy caminando,"... el trayecto hasta la sede se me hace lejano, ... el tránsito por zonas es peligroso (riesgo de accidentes), ... me lleva mucho tiempo",,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Tengo que mudarme más cerca de las sedes, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa, No voy a poder seguir cursando"
26/05/2026 08:09:37,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,520,,,,,,Voy en tren,,,,,,... me lleva mucho presupuesto,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 13:19:31,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,... me lleva mucho tiempo,511 520,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 13:30:11,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... me lleva mucho tiempo, ... me lleva mucho presupuesto",276,,,,,,Voy en colectivo,,,,"... me lleva mucho tiempo, ... me lleva mucho presupuesto",291 y 276,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, No voy a poder seguir cursando"
26/05/2026 08:44:08,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,"291 y 203,276",,,,,,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,"291,203,276",,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 14:14:43,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,,,,,,,,Voy en tren,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 09:46:11,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,501 o 503 y 511,,,,,,Voy en colectivo,,,,,,,,,,,Necesito salir antes de casa
26/05/2026 14:22:03,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... tuve experiencias de episodios de violencia/acoso hacia mi persona, ... no respetan horarios, ... no tienen carteles claros","503, 276 y 520",,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,".. me lleva mucho tiempo, ... me lleva mucho presupuesto",,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 14:22:09,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... tuve experiencias de episodios de violencia/acoso hacia mi persona, ... no respetan horarios, ... no tienen carteles claros, ... no respetan paradas/recorridos","503,276,520",,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 14:22:10,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto",276,,,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto",276,,,,,,Necesito salir antes de casa
26/05/2026 09:48:10,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,"511, 503, 520",,,,,,Voy en tren,,,,,,"... me lleva mucho tiempo, ... me lleva mucho presupuesto",San Martin ,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
26/05/2026 14:23:01,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no respetan horarios","203 ,291",,,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no respetan horarios","203,291",,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
26/05/2026 10:21:44,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,520 501,,,,,,Voy en tren,,,,,,"... me lleva mucho tiempo, ... me lleva mucho presupuesto",Sanmartin,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 10:33:59,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,Cualquier linea de 500,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 14:24:56,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... me lleva mucho presupuesto,291-276-203,,,,,,Voy en colectivo,,,,... me lleva mucho presupuesto,,,,,,,Necesito salir antes de casa
26/05/2026 10:34:03,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,,,,,,,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,Cuando tengo que viajar hasta parque industrial ,,,,,,
26/05/2026 14:26:53,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no respetan horarios, ... no tienen carteles claros",291 y 203,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa, Tengo que conseguir un auto "
26/05/2026 14:28:04,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no tienen carteles claros,510 y 520,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,... me lleva mucho presupuesto,,,Necesito salir antes de casa
26/05/2026 10:36:56,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,501,,,,,,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,501/503,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, No voy a poder seguir cursando"
26/05/2026 14:32:05,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... el trayecto hasta la sede se me hace lejano,,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,Tengo que evitar -tal zona- en -tal horario-
26/05/2026 14:33:05,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... me lleva mucho tiempo,520,,,,,,Voy en tren,,,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo",San Martin ,,,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 14:35:40,Sede Pellegrini,Turno Noche,Voy caminando,Faltan veredas ,,,,,,,,,,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,276,,,,,,"Necesito salir antes de casa, "
26/05/2026 14:38:19,Sede Pellegrini,Turno Noche,Voy en auto (propio o me llevan/traen),,,,,,,,... el trayecto hasta la sede se me hace lejano,,,No uso otro medio de transporte,,,,,,,,,,,
26/05/2026 10:38:41,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,510,,,,,,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,510,,,,,,Necesito salir antes de casa
26/05/2026 14:44:14,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto",276 desde lujan,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 10:41:50,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,350,,,,,,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 14:46:27,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... no respetan horarios, ",501,,,,,,No uso otro medio de transporte,,,,,,,,,,,Tengo que comentarlo con mi coordinador/profes
26/05/2026 14:47:55,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto",,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,,,"Tengo que mudarme más cerca de las sedes, Necesito salir antes de casa"
26/05/2026 11:11:22,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,"506,509, 520,511",,,,,,Voy en bici,,... el tránsito por zonas es peligroso  (riesgo de accidentes),,,,,,,,,Necesito salir antes de casa
26/05/2026 14:52:20,Sede Parque Industrial,Turno Noche,Voy en colectivo,,,,... no respetan horarios,,,,,,,Voy en colectivo,,,,,,,,,,,
26/05/2026 13:14:19,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 14:54:22,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... el tránsito por zonas es peligroso  (riesgo de accidentes),520 que va a zelaya pero antes de este me tomo el tren desde derqui hasta pilar,,,,,,Voy en tren,,,,,,... me lleva mucho presupuesto,san martin,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 14:57:08,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... me lleva mucho presupuesto,276,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,Voy a pedir prestado para poder seguir viniendo este mes
26/05/2026 15:00:39,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,,"501, 520",,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 15:04:51,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,... el trayecto hasta la sede se me hace lejano,501/503 o 520,,,,,,Voy caminando,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo",,,,,,,,,,Necesito salir antes de casa
26/05/2026 15:18:07,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,,,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 14:23:53,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,"291,503",,,,,,Voy en tren,,,,,,... me lleva mucho presupuesto,Belgrano norte,,,,No voy a poder seguir cursando
26/05/2026 14:45:15,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,510 y 276,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,.. me lleva mucho tiempo,,,Necesito salir antes de casa
26/05/2026 14:53:58,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,510 203 57,,,,,,Voy caminando,No hay veredas ,,,,,,,,,,Voy a pedir prestado para poder seguir viniendo este mes
26/05/2026 17:06:29,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,"501, 276, 520",,,,,,Voy en colectivo,,,,,,,,,,,Nada
26/05/2026 15:24:02,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en tren,,,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto",Belgrano Norte ,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto","448,y acá en villa rosa 500",,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 15:24:14,Sede Pellegrini,Turno Tarde,Voy en tren,,,,,,... el trayecto hasta la sede se me hace lejano,Belgrano norte,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 15:26:44,Sede Pellegrini,Turno Noche,Voy caminando,... el tránsito por zonas es peligroso (riesgo de accidentes),,,,,,,,,,Voy en colectivo,,,,... no tienen carteles claros,510,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 15:28:00,Sede Pellegrini,Turno Noche,Voy en auto (propio o me llevan/traen),,,,,,,,No me resulta para nada lejano ni peligroso,,,Voy en auto (propio o me llevan/traen),,,,,,,,,,,
26/05/2026 15:32:37,Sede Pellegrini,Turno Mañana,Voy en auto (propio o me llevan/traen),,,,,,,,... me lleva mucho presupuesto,,,Voy en colectivo,,,,... me lleva mucho presupuesto,501 o 276,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 15:34:37,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en bici,,... el tránsito por zonas es peligroso  (riesgo de accidentes),,,,,,,,,Voy caminando,... el trayecto hasta la sede se me hace lejano,,,,,,,,,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 15:35:10,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no respetan horarios, tengo que salir 30 minutos antes de las clases xq sino me quedo varada en pilar",276,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,".. me lleva mucho tiempo, ... me lleva mucho presupuesto",,"Tengo que conseguir trabajo, es muy caro viajar, Tengo que mudarme más cerca de las sedes, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa, Tengo que comentarlo con mi coordinador/profes, No voy a poder seguir cursando, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 15:42:52,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,,501,,,,,,Voy en colectivo,,,,... no tienen carteles claros,,,,,,,Tengo que evitar -tal zona- en -tal horario-
26/05/2026 19:46:02,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,520,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
27/05/2026 05:19:47,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,"176, 276",,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,,,Necesito salir antes de casa
27/05/2026 18:00:36,Sede Parque Industrial,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,510,,,,,,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,510,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
26/05/2026 17:08:36,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no respetan horarios,520 y 276 ,,,,,,Voy en tren,,,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo",San martin,,,,Necesito salir antes de casa
26/05/2026 17:08:51,Sede Pellegrini,Turno Tarde,Voy en tren,,,,,,"... el trayecto hasta la sede se me hace lejano, ... me quedo sin trenes/se cancela el servicio seguido",San martín ,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto",520,,,,,,"Tengo que mudarme más cerca de las sedes, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 17:18:23,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,... me lleva mucho presupuesto,520-510-503-276,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,Necesito salir antes de casa
26/05/2026 18:03:39,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... no respetan horarios",276 - 510,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
26/05/2026 19:13:01,Sede Parque Industrial,Turno Tarde,Voy en colectivo,,,,Soy de escobar y hasta el parque industrial me queda muy lejos ,276,,,,,,No uso otro medio de transporte,,,,,,,,,,,Tengo que evitar -tal zona- en -tal horario-
27/05/2026 18:30:35,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,350 hasta Pilar centro,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes"
26/05/2026 19:30:47,Sede Pellegrini,Turno Mañana,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,"... me lleva mucho presupuesto, ... tuve experiencias de episodios de violencia/acoso hacia mi persona",,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... no respetan horarios, ... no tienen carteles claros",511 y 75,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Tengo que comentarlo con mi coordinador/profes"
26/05/2026 19:31:15,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no respetan paradas/recorridos",350 y 276,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Voy a pedir prestado para poder seguir viniendo este mes, Tengo que comentarlo con mi coordinador/profes, No voy a poder seguir cursando"
26/05/2026 19:32:59,Sede Parque Industrial,Turno Mañana,Voy moto,,,"... el trayecto hasta la sede se me hace lejano, ... el tránsito por zonas es peligroso  (riesgo de accidentes)",,,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,,,
26/05/2026 19:33:22,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,tengo que hacer la combinación de dos colectivos Porque la línea de colectivo que pasa por mi casa no nos acepta el boleto.,520/510,,,,,,No uso otro medio de transporte,,,,,,,,,,,"No tengo para considerar nada, estoy de acuerdo con el monto del boleto, por el momento no tuve problemas con el horario."
26/05/2026 19:34:27,Sede Parque Industrial,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no respetan horarios, ... no tienen carteles claros",Yo vivo en Garin y el trayecto hasta pilar centro implica tomar 2 colectivos pagándo boleto normal,,,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto","203,60, 276",,,,,,Necesito salir antes de casa
27/05/2026 18:38:07,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,"511, 510 y 501/503",,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
26/05/2026 19:40:51,Sede Pellegrini,Turno Mañana,Voy moto,,,,,,,,,,,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","501,503",,,,,,
27/05/2026 19:49:17,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,510,,,,,,Voy caminando,No es largo ,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
28/05/2026 14:45:41,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... no me reconocen el boleto universitario municipal,"501/502, 350",,,,,,Voy en colectivo,,,,... me lleva mucho presupuesto,"501/502, 350",,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 19:47:15,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,... no tienen carteles claros,,,,,,,Voy en tren,,,,,,,,,,,Tengo que evitar -tal zona- en -tal horario-
26/05/2026 19:59:33,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,Tendrían que agregar más líneas de colectivos ,276,,,,,,No uso otro medio de transporte,,,,,,,,,,,Necesito salir antes de casa
26/05/2026 16:04:12,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,"... no me reconocen el boleto universitario municipal, ... no respetan horarios","501, 503, 511",,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,"a veces no quieren ingresar al predio, solo te dejan en la puerta. S",,Necesito salir antes de casa
