Timestamp,Lo primero: donde cursas la MAYORIA de tus clases?,¿En que horario cursas esa mayoría?,¿Qué medio de transporte  usás para llegar a la sede la mayoría de las veces?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,¿Qué otro medio de transporte  usás para llegar a las sedes?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,"Para finalizar, moverte hacia/desde la Universidad, te hizo considerar alguna de las siguientes opciones?"
26/05/2026 15:23:10,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... la zona donde transito es peligrosa (robos, etc), ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal",276,,,,,,Voy en tren,,,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo",San Martín ,,,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 08:11:23,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... no respetan horarios",520,,,,,,No uso otro medio de transporte,,,,,,,,,,,Tengo que comentarlo con mi coordinador/profes
26/05/2026 08:14:00,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... no respetan horarios,"Tomó tres colectivos , 501 , 350 y 501/503",,,,,,No uso otro medio de transporte,,,,,,,,,,,Necesito salir antes de casa
26/05/2026 08:21:32,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","511,501/503, 520, 350, 510, 429, 276",,,,,,No uso otro medio de transporte,,,,,,,,,,,"Necesito salir antes de casa, Se vuelve muy caro viajar hasta la uni, tomo 4 coles para asistir"
26/05/2026 09:24:48,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","203, 501/503,510,57",,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa, No voy a poder seguir cursando"
26/05/2026 10:38:48,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal",520,,,,,,Voy en tren,,,,,,... el trayecto hasta la sede se me hace lejano,Linea San Martin ,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 14:23:40,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","276, y en Rodriguez para ir hasta Lujan a veces me tomo el 365, 47",,,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no respetan horarios","276, cuando llega el de Lujan directo me tomo el que dice rodriguez y luego ahi me tomo el 365, 47",,,,,,"Necesito salir antes de casa, Solo cuento con dos francos en la semana en mi trabajo, por lo cual no me los pueden dar fijos para ppder cursar y los tengo que cambiar con mis compañeras, a veces se puede y otras no. Estaria bueno que hayan mas horarios para poder cursar"
26/05/2026 08:27:15,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... no respetan horarios,501,,,,,,No uso otro medio de transporte,,,,,,,,,,,
26/05/2026 08:28:37,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... me lleva mucho presupuesto,276,,,,,,Voy en colectivo,,,,... me lleva mucho presupuesto,276,,,,,,Voy a pedir prestado para poder seguir viniendo este mes
26/05/2026 08:31:14,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy moto,,,"... el trayecto hasta la sede se me hace lejano, ... el tránsito por zonas es peligroso  (riesgo de accidentes)",,,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,"... el tránsito por zonas es peligroso (riesgo de accidentes), ... me lleva mucho presupuesto",,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 14:26:15,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","365, 520, 520 Zelaya x este 276 ",,,,,,Voy en tren,,,,,,,San Martín ,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
26/05/2026 08:35:36,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,No tengo ningún problema o reclamo en los viajes de colectivo,510 y 520,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,No tengo ningún problema o reclamo en los viajes que realizo en auto,,,Necesito salir antes de casa
26/05/2026 08:43:41,Sede Parque Industrial,Turno Tarde,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,Tengo que comentarlo con mi coordinador/profes
27/05/2026 13:44:38,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal",276,,,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal",276,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Tengo que mudarme más cerca de las sedes, Necesito salir antes de casa"
26/05/2026 09:44:54,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no respetan horarios",276,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
26/05/2026 19:35:33,Sede Parque Industrial,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","350, 276 y 501",,,,,,Voy en tren,,,,,,"... la zona donde transito es peligrosa (robos, etc)",san martin,,,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 09:14:58,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... me lleva mucho tiempo, ... me lleva mucho presupuesto","291, 501/503 y 276",,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 09:18:43,Sede Pellegrini,Turno Noche,Voy en auto (propio o me llevan/traen),,,,,,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,,,,"Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 09:22:38,Sede Pellegrini,Turno Noche,Voy en auto (propio o me llevan/traen),,,,,,,,... me lleva mucho presupuesto,,,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... tuve experiencias de episodios de violencia/acoso hacia mi persona, ... no respetan horarios, ... no respetan paradas/recorridos",,,,,,,"Tengo que comentarlo con mi coordinador/profes, No voy a poder seguir cursando"
26/05/2026 08:17:53,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no respetan horarios",194 y 276,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
26/05/2026 09:29:41,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... no respetan horarios,510 ramal 5,,,,,,Voy en tren,,,,,,... me lleva mucho presupuesto,Belgrano norte ,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa"
